Cryptocurrency,Date,Open,High,Low,Close,Volume,Market Cap
omisego,"Sep 04, 2017",10.55,10.55,7.31,8.78,"159,979,000","1,037,440,000"
omisego,"Sep 03, 2017",10.79,11.37,9.64,10.57,"68,616,800","1,060,760,000"
omisego,"Sep 02, 2017",11.99,11.99,9.96,10.8,"93,561,000","1,178,610,000"
omisego,"Sep 01, 2017",11.73,12.52,11.63,11.97,"91,962,400","1,153,390,000"
omisego,"Aug 31, 2017",11.17,12.08,10.78,11.74,"89,710,200","1,098,470,000"
omisego,"Aug 30, 2017",9.49,11.67,9.3,11.07,"194,613,000","932,958,000"
omisego,"Aug 29, 2017",8.58,9.62,8.45,9.46,"86,155,000","843,249,000"
omisego,"Aug 28, 2017",8.33,8.93,8.15,8.59,"52,390,300","819,005,000"
omisego,"Aug 27, 2017",8.29,8.37,8.03,8.33,"22,915,000","815,412,000"
omisego,"Aug 26, 2017",8.26,8.33,7.85,8.28,"25,661,900","812,289,000"
omisego,"Aug 25, 2017",8.38,8.46,8.04,8.27,"24,205,300","823,620,000"
omisego,"Aug 24, 2017",8.2,8.39,7.97,8.37,"31,284,200","806,267,000"
omisego,"Aug 23, 2017",7.61,8.66,7.58,8.24,"64,455,600","748,515,000"
omisego,"Aug 22, 2017",7.67,7.76,6.96,7.62,"41,423,400","753,880,000"
omisego,"Aug 21, 2017",8.45,8.6,7.34,7.67,"71,569,400","830,536,000"
omisego,"Aug 20, 2017",7.76,8.84,7.17,8.44,"74,687,700","762,542,000"
omisego,"Aug 19, 2017",7.31,7.93,6.42,7.8,"70,997,400","718,510,000"
omisego,"Aug 18, 2017",8.4,8.45,6.32,7.34,"104,224,000","825,591,000"
omisego,"Aug 17, 2017",8.89,9.47,8.29,8.4,"131,488,000","873,548,000"
